transaction_id,account_id,amount,transaction_type,account_age_years,country_risk_level,is_foreign_transaction,num_prev_transactions,previous_suspicious_activity,avg_transaction_amount,time_of_day,device_type,customer_type,location_match,account_balance,txn_velocity_score,unusual_activity_flag,label
T00029,A2571,289332.97,online_transfer,8.5,high,0,49,0,38877.78,evening,web,business,0,1038498.02,0.29,1,1
T00030,A5030,392308.22,online_transfer,2.0,high,0,38,1,13662.06,night,web,personal,0,1162547.5,0.74,1,1
T00031,A1764,148808.72,online_transfer,4.1,low,1,1,1,15584.61,evening,atm,business,0,1767525.16,0.41,1,1
T00032,A8051,76684.77,bank_transfer,8.7,high,0,0,0,39263.94,night,atm,business,0,1888267.22,0.54,0,0
T00033,A6881,205493.92,cash,14.6,medium,1,16,1,24717.13,evening,atm,business,0,323317.72,0.56,0,1
T00034,A4888,405702.99,cash,8.0,medium,1,33,1,12755.28,night,web,business,1,64747.2,0.61,1,1
T00035,A1082,107774.88,bank_transfer,10.4,high,1,3,0,40334.88,night,web,personal,0,895849.66,0.02,0,1
T00036,A7956,257983.34,crypto,1.5,high,1,32,0,47054.11,afternoon,atm,business,0,772427.34,0.54,1,1
T00037,A2600,385469.69,online_transfer,7.7,high,0,21,0,1088.87,afternoon,web,personal,1,912686.02,0.4,0,1
T00038,A5516,253705.54,online_transfer,11.2,low,0,18,0,46206.15,afternoon,atm,personal,0,841453.01,0.64,0,0
T00039,A1698,136026.77,cash,4.2,medium,1,5,0,2939.61,afternoon,web,personal,0,1497316.22,0.5,0,0
T00040,A8915,360844.99,crypto,12.2,high,0,7,0,34090.36,morning,atm,business,0,1444244.89,0.08,1,1
T00041,A5855,475028.96,online_transfer,4.1,medium,0,36,0,5174.87,afternoon,web,personal,1,9049.66,0.38,1,1
T00042,A2086,237540.95,crypto,14.9,high,1,40,1,45510.42,afternoon,mobile,personal,0,176620.25,0.4,1,1
T00043,A5440,193410.6,cash,8.3,medium,0,38,1,28000.66,afternoon,mobile,business,1,1130490.6,0.98,0,1
T00044,A4358,201497.59,cheque,1.4,low,0,24,1,42023.99,evening,mobile,business,0,1580760.03,0.66,0,1
T00045,A4390,426660.79,crypto,13.8,low,1,48,1,11440.79,morning,web,business,0,500443.29,0.25,1,1
T00046,A2269,194697.0,cash,7.2,low,1,35,1,24588.02,afternoon,web,business,0,1224900.1,0.08,0,1
T00047,A2285,343860.73,online_transfer,12.0,medium,1,23,0,44050.09,evening,web,business,0,1430031.31,0.77,1,1
T00048,A3924,276831.11,crypto,4.7,medium,1,10,0,26745.74,night,web,personal,1,495247.17,0.64,1,1
T00049,A6185,49483.89,bank_transfer,14.2,low,1,15,1,13534.98,morning,mobile,business,0,389585.5,0.95,1,1
T00050,A4543,229249.99,upi,14.4,high,0,3,1,34033.15,afternoon,mobile,personal,0,530056.82,0.28,1,1
T00051,A4884,43831.52,crypto,2.5,medium,0,36,0,35355.06,morning,mobile,business,0,1343019.36,0.79,0,0
T00052,A7174,217566.95,upi,3.4,high,1,21,0,38692.79,evening,mobile,personal,0,46107.65,0.3,1,1
T00053,A8622,2860.51,upi,9.7,high,0,24,1,3763.22,night,atm,personal,0,1672226.5,0.36,1,1
T00054,A7781,83062.32,crypto,7.8,high,1,15,1,43987.69,morning,web,personal,0,370019.55,0.27,0,1
T00055,A5333,430689.68,crypto,4.6,high,1,50,0,27002.43,night,atm,personal,1,413768.5,0.27,0,1
T00056,A5345,309942.46,online_transfer,5.8,low,1,5,1,21512.32,night,mobile,personal,0,876592.58,0.54,1,1
T00057,A3608,61818.22,upi,4.8,medium,1,44,1,11537.98,afternoon,mobile,business,0,628836.14,0.68,0,0
T00058,A5393,73856.0,upi,4.1,high,1,15,1,28299.45,morning,mobile,personal,0,1935826.96,0.56,0,1
T00059,A9816,378544.51,upi,5.5,high,0,38,1,20183.84,evening,web,personal,1,1508825.31,0.93,0,1
T00060,A8143,387582.47,cheque,14.0,high,1,5,1,39627.77,afternoon,mobile,personal,1,582873.79,0.25,0,1
T00061,A5560,89308.65,cheque,8.3,high,1,5,0,37428.19,morning,web,business,0,1844968.31,0.15,0,0
T00062,A5434,15735.17,cash,6.7,medium,0,20,0,33271.91,morning,mobile,business,1,238090.93,0.52,0,0
T00063,A8321,244034.37,cheque,4.8,medium,1,1,1,11260.19,evening,web,business,0,1420931.24,0.28,1,1
T00064,A5927,294496.02,upi,6.0,medium,1,24,0,1882.48,morning,atm,personal,1,1580536.41,0.16,1,1
T00065,A5579,147248.52,bank_transfer,2.7,high,0,37,1,16399.3,night,atm,personal,1,1941427.51,0.1,0,1
T00066,A9554,196353.68,upi,4.9,high,1,46,0,35917.56,evening,web,business,0,379350.97,0.46,0,1
T00067,A9518,283899.22,crypto,6.8,high,1,21,1,34373.35,morning,mobile,personal,1,256328.93,0.68,1,1
T00068,A4319,16749.65,cash,3.6,high,0,0,1,2911.43,night,atm,business,0,1675274.13,0.75,0,1
T00069,A7336,78897.62,cash,13.4,low,0,27,0,34662.02,afternoon,web,personal,0,1508696.67,0.07,0,0
T00070,A9363,119698.23,upi,7.4,high,1,22,1,3498.7,morning,web,business,1,729518.38,0.72,0,1
T00071,A4643,91449.35,upi,9.8,high,1,16,1,2157.45,evening,atm,personal,0,1077868.88,0.92,0,1
T00072,A4485,106318.52,crypto,12.2,high,0,7,1,34287.46,evening,mobile,business,0,1764033.64,0.48,1,1
T00073,A2459,179652.8,crypto,11.0,low,1,33,1,43223.81,evening,atm,personal,0,115696.87,0.43,1,1
T00074,A9108,30206.99,bank_transfer,14.6,medium,0,28,0,46273.3,night,web,business,0,1715765.83,0.89,1,0
T00075,A1173,105064.62,bank_transfer,12.6,high,1,1,1,47984.35,night,mobile,personal,1,905045.21,0.92,1,1
T00076,A9713,156882.94,crypto,0.2,low,0,19,0,7876.51,morning,mobile,business,0,604480.38,0.18,0,0
T00077,A8066,142925.26,bank_transfer,9.8,high,1,30,1,10698.08,afternoon,atm,personal,0,319154.96,0.96,1,1
T00078,A4962,251669.38,cash,2.9,high,1,7,0,4721.68,evening,web,business,1,116975.66,0.86,1,1
T00079,A2510,383284.34,cash,5.8,high,0,4,1,38408.36,morning,web,personal,1,1789558.28,0.54,0,1
T00080,A8187,247880.06,bank_transfer,9.3,high,1,3,0,16720.01,afternoon,web,personal,1,1982423.02,0.74,0,1
T00081,A6385,222170.15,bank_transfer,5.5,low,0,22,0,21485.61,night,mobile,business,0,769239.66,0.73,0,0
T00082,A1878,486367.82,crypto,13.9,low,0,32,0,40211.98,afternoon,mobile,personal,0,1217872.71,0.54,0,0
T00083,A4292,439714.75,crypto,12.1,medium,1,10,1,49876.83,morning,atm,business,1,1052281.53,0.76,1,1
T00084,A4437,151875.05,crypto,7.2,medium,0,10,0,2888.5,afternoon,web,personal,1,1107165.77,0.29,0,0
T00085,A9869,462341.58,crypto,13.5,low,0,7,1,32766.59,evening,mobile,personal,0,1574453.25,0.44,0,0
T00086,A3833,272161.46,cash,0.8,low,1,49,1,26272.07,morning,web,business,1,1927960.61,0.55,1,1
T00087,A2746,343506.79,cash,6.4,high,0,27,1,42132.05,evening,mobile,business,0,1369163.37,0.64,0,1
T00088,A8328,312235.23,crypto,11.0,high,1,40,1,42160.13,night,atm,business,1,1121627.86,0.75,1,1
T00089,A8270,481285.4,online_transfer,11.3,low,0,18,0,39960.86,night,web,personal,0,1459385.61,0.93,1,1
T00090,A4087,464084.86,cash,7.2,high,1,37,0,20874.57,night,mobile,personal,1,1784386.49,0.65,1,1
T00091,A5475,9201.35,upi,8.8,medium,0,5,0,10516.97,morning,atm,business,1,1652046.2,0.06,1,0
T00092,A7317,399861.79,upi,13.1,medium,0,44,1,24644.86,afternoon,web,business,1,1733246.88,0.81,1,1
T00093,A6222,321957.89,crypto,11.0,high,0,38,1,46227.16,evening,mobile,personal,0,308757.5,0.51,1,1
T00094,A3762,280527.25,cash,7.5,high,1,12,1,9745.08,morning,mobile,business,0,1644767.8,0.19,0,1
T00095,A7176,466240.34,cheque,13.8,low,0,42,0,8718.7,evening,web,business,0,1823719.01,0.25,1,1
T00096,A6517,336494.83,crypto,4.3,medium,1,3,1,38933.53,evening,atm,business,1,579579.75,0.45,1,1
T00097,A2943,298058.88,cash,11.6,high,0,25,0,24656.49,afternoon,atm,personal,0,1400795.07,0.61,1,1
T00098,A9699,286205.74,bank_transfer,5.1,high,1,44,0,23514.3,evening,atm,business,0,1346707.7,0.43,0,1
T00099,A9945,6954.44,upi,11.0,high,0,17,0,29907.45,afternoon,web,business,0,1098283.68,0.27,0,0
T00100,A2921,53117.43,upi,8.6,low,1,27,1,37198.8,morning,atm,personal,1,280472.8,0.7,1,1
T00101,A4149,472104.29,cheque,9.9,medium,1,44,1,22730.42,evening,atm,personal,0,398575.85,0.66,0,1
T00102,A4240,450505.43,online_transfer,9.4,high,0,7,0,1859.96,morning,atm,personal,1,387628.79,0.92,1,1
T00103,A6249,304138.84,online_transfer,9.9,medium,1,33,1,41939.08,evening,atm,business,1,614158.01,0.93,0,1
T00104,A4051,289889.93,upi,12.4,high,0,29,1,40460.86,morning,atm,personal,1,18750.81,0.91,1,1
T00105,A5103,146196.56,online_transfer,4.4,low,1,29,1,45702.49,night,mobile,personal,0,1350543.39,0.86,1,1
T00106,A4119,268574.91,upi,7.4,medium,0,38,0,10702.59,night,atm,business,0,210534.04,0.92,1,1
T00107,A3916,9643.47,upi,2.2,high,1,49,1,20094.62,morning,web,business,1,562685.09,0.67,1,1
T00108,A9842,431079.47,cash,11.7,medium,1,47,0,26246.49,evening,web,business,0,774093.23,0.35,0,0
T00109,A2042,42710.09,cash,1.0,low,1,3,1,37918.53,night,atm,business,1,1709025.71,0.47,1,1
T00110,A1060,19797.99,online_transfer,10.1,low,0,40,0,1003.68,evening,web,business,1,1148523.35,0.11,1,0
T00111,A6780,158246.7,crypto,9.5,low,0,49,0,18085.88,morning,mobile,business,0,408049.72,0.04,0,0
T00112,A4961,481831.67,online_transfer,6.8,low,0,2,0,35181.24,afternoon,web,business,0,550491.26,0.88,1,1
T00113,A4690,491681.94,upi,4.3,high,0,15,0,16420.59,afternoon,web,business,0,1161648.65,0.99,0,1
T00114,A9879,256771.43,crypto,11.4,low,0,31,0,12518.58,night,web,personal,0,141851.72,0.84,1,1
T00115,A8325,287939.29,online_transfer,3.2,medium,1,23,1,37718.7,morning,web,business,1,1281832.53,0.59,1,1
T00116,A5278,332655.35,cash,0.4,low,0,23,1,48746.28,evening,web,business,0,566029.18,0.53,1,1
T00117,A2841,207618.76,upi,14.2,medium,1,23,0,44182.97,night,atm,personal,1,1135221.09,0.7,1,1
T00118,A4290,310331.29,online_transfer,0.8,high,0,44,1,44392.24,afternoon,mobile,business,0,1077104.98,0.71,0,1
T00119,A7794,27608.46,cash,10.4,medium,0,31,0,47106.37,night,atm,personal,1,1973195.32,0.56,0,0
T00120,A8412,31163.05,online_transfer,3.2,low,1,37,0,18989.74,evening,atm,business,0,895360.8,0.65,0,0
T00121,A8397,330327.94,cheque,4.7,high,1,36,1,11883.89,morning,atm,business,0,389060.48,0.43,1,1
T00122,A3844,183724.52,cheque,4.7,medium,0,14,1,44868.63,evening,mobile,personal,0,1440102.43,0.94,0,1
T00123,A4681,454504.43,upi,0.9,medium,1,13,0,43122.41,morning,mobile,business,1,1549085.2,0.4,0,0
T00124,A6555,251893.26,crypto,1.8,medium,0,8,0,3610.53,night,mobile,business,1,1848043.85,0.69,1,0
T00125,A7904,30999.78,bank_transfer,7.1,low,1,33,0,4029.19,night,web,personal,0,1061007.25,0.29,1,0
T00126,A9126,436862.06,cheque,14.8,medium,0,11,1,29548.62,evening,web,business,0,908963.98,0.54,1,1
T00127,A8097,25061.74,upi,4.2,low,0,47,0,14470.56,night,mobile,business,0,1830538.15,0.36,1,0
T00128,A9211,377486.09,bank_transfer,13.3,medium,1,3,0,26873.67,night,atm,personal,0,1257369.22,0.25,0,0
T00129,A7019,8239.16,online_transfer,11.5,low,1,46,0,18461.2,afternoon,web,personal,0,1372520.12,0.52,1,0
T00130,A1553,228232.54,online_transfer,5.6,high,1,21,0,13114.86,morning,atm,business,0,825366.36,0.89,1,1
T00131,A4025,377248.82,crypto,4.9,low,0,4,1,25536.52,afternoon,mobile,personal,1,1349108.8,0.28,1,1
T00132,A6732,477681.7,crypto,1.7,low,1,8,1,38454.61,night,web,business,1,1349460.48,0.56,1,1
T00133,A6571,484313.83,online_transfer,14.2,high,1,2,1,45120.35,evening,web,personal,1,1692023.53,0.94,0,1
T00134,A2919,355431.42,cheque,3.7,low,0,29,1,30373.18,afternoon,web,personal,0,1750088.1,0.6,0,1
T00135,A4968,99751.96,crypto,14.5,medium,0,46,0,33029.22,afternoon,mobile,business,0,1900051.35,0.45,0,0
T00136,A4876,228004.7,cheque,14.0,high,1,24,1,32110.19,evening,web,business,0,1982072.29,0.41,0,1
T00137,A7062,457016.28,cash,7.9,low,1,47,0,18912.88,afternoon,mobile,business,1,952161.0,0.08,0,0
T00138,A8205,283358.22,crypto,0.7,medium,1,15,0,38501.38,night,atm,business,0,1090554.54,0.97,0,1
T00139,A3956,55741.83,bank_transfer,0.3,medium,0,50,1,15215.94,morning,atm,personal,0,1775088.19,0.66,0,0
T00140,A1187,417833.47,online_transfer,4.5,medium,0,39,1,49758.1,night,atm,business,0,1409794.19,0.04,0,1
T00141,A8800,414286.55,upi,12.9,medium,0,14,1,24690.77,evening,atm,personal,0,760097.3,0.4,1,1
T00142,A9181,354764.66,upi,5.6,low,1,26,1,3967.43,morning,web,business,0,945667.14,0.37,1,1
T00143,A4742,430976.67,online_transfer,4.4,low,1,33,0,38602.75,evening,atm,business,0,927639.98,0.55,0,0
T00144,A9004,488684.63,bank_transfer,0.7,high,0,18,1,35569.72,night,mobile,personal,1,1257128.37,0.16,0,1
T00145,A1037,482603.21,online_transfer,3.8,low,0,6,0,21299.01,afternoon,mobile,personal,0,284141.02,0.92,1,1
T00146,A6117,118217.82,upi,5.4,high,0,7,0,44407.75,evening,atm,personal,1,1854315.5,0.64,0,0
T00147,A5793,117797.53,cheque,9.8,low,0,32,1,1860.69,morning,mobile,business,0,815569.33,0.51,0,1
T00148,A2168,49991.0,cheque,11.4,low,1,33,1,33813.02,evening,web,personal,1,627094.82,0.5,0,0
T00149,A5383,357735.19,cash,14.9,low,1,41,0,21011.71,morning,atm,business,0,1998242.62,0.29,0,0
T00150,A2134,314667.63,upi,10.6,low,1,41,0,25434.17,morning,atm,personal,0,807416.69,0.43,0,0
T00151,A7334,369103.96,cash,10.9,high,1,19,0,8655.3,afternoon,web,personal,1,1045840.79,0.16,1,1
T00152,A8308,480347.05,bank_transfer,2.9,low,1,26,0,5253.7,night,atm,business,1,661662.46,0.44,0,0
T00153,A2427,431805.03,cheque,1.9,low,1,31,1,25187.66,afternoon,mobile,personal,0,607829.83,0.81,0,1
T00154,A8464,97071.72,cash,10.0,low,0,1,0,37301.17,morning,web,personal,1,86134.8,0.46,1,0
T00155,A2033,81726.97,upi,3.5,medium,0,49,0,46875.56,night,atm,business,1,1401109.88,0.3,0,0
T00156,A4799,479181.76,cash,12.8,low,1,18,0,29011.06,evening,mobile,personal,1,284162.91,0.91,1,1
T00157,A1359,373487.07,upi,6.9,high,1,29,1,20322.08,morning,mobile,business,1,991183.02,0.1,1,1
T00158,A6538,83516.03,bank_transfer,7.5,medium,0,6,0,46384.69,morning,web,business,1,581488.42,0.9,0,0
T00159,A7183,265886.68,cheque,7.1,high,1,35,0,32861.14,evening,mobile,business,0,384389.71,0.77,1,1
T00160,A4036,134796.25,bank_transfer,4.8,low,1,21,0,32802.75,morning,atm,personal,1,497500.57,0.69,0,0
T00161,A6588,134613.15,crypto,1.6,medium,0,3,1,7583.03,afternoon,web,business,0,1750394.64,0.28,0,0
T00162,A1429,351472.06,cheque,8.2,medium,1,23,0,14106.5,evening,web,personal,1,273048.04,0.21,1,1
T00163,A1320,102794.69,online_transfer,6.8,high,0,2,0,5997.27,afternoon,web,personal,1,313278.36,0.93,1,1
T00164,A8820,331131.47,cheque,4.3,low,1,8,0,37232.82,morning,atm,business,0,1321577.45,0.96,1,1
T00165,A2448,352017.38,online_transfer,7.7,low,0,12,0,29145.36,evening,mobile,business,0,1472550.75,0.64,1,0
T00166,A9111,409067.18,cash,13.4,high,1,35,1,8050.75,evening,mobile,business,1,1016548.73,0.64,0,1
T00167,A7777,277166.65,cash,5.8,high,1,1,0,40813.72,afternoon,atm,business,1,367509.81,0.1,1,1
T00168,A1938,198785.24,upi,7.9,low,1,28,1,43993.91,evening,web,business,0,103513.15,0.9,0,1
T00169,A3503,208531.31,cash,14.6,medium,1,24,1,4125.87,night,atm,personal,0,1954574.38,0.51,0,1
T00170,A6449,405522.11,bank_transfer,5.4,high,0,46,0,17365.54,morning,mobile,business,0,1530560.26,0.79,1,1
T00171,A1679,168272.86,online_transfer,10.5,low,0,3,0,16140.07,night,atm,personal,0,9839.72,0.24,1,0
T00172,A8894,247004.97,online_transfer,8.3,high,1,31,0,7546.78,morning,web,personal,0,687362.48,0.63,1,1
T00173,A2722,434377.88,crypto,3.2,high,0,13,1,34139.33,night,mobile,personal,0,403169.6,0.68,0,1
T00174,A1209,464087.11,cheque,11.5,low,0,46,1,8143.32,morning,mobile,business,1,785891.67,0.68,0,1
T00175,A6889,356861.28,upi,14.1,low,0,28,0,47538.48,afternoon,mobile,business,1,1901533.24,0.36,1,1
T00176,A4632,251764.94,upi,2.3,high,0,6,0,39241.36,evening,web,personal,0,119214.68,0.11,0,0
T00177,A3908,293574.56,online_transfer,5.8,high,1,3,0,26830.55,afternoon,mobile,business,1,1950258.47,0.18,1,1
T00178,A1097,35981.49,bank_transfer,7.4,medium,0,25,1,35461.15,afternoon,web,business,0,228645.62,0.12,0,0
T00179,A9807,479632.51,upi,1.0,medium,0,29,1,12694.61,afternoon,atm,business,0,1299318.15,0.2,1,1
T00180,A5392,316204.87,upi,11.3,medium,0,42,1,4060.61,afternoon,atm,personal,1,1601066.96,0.11,1,1
T00181,A9551,108213.27,bank_transfer,10.4,medium,0,40,0,1511.59,night,web,personal,1,76143.72,0.65,0,0
T00182,A1540,400562.43,cash,1.8,high,0,18,0,19787.42,morning,atm,business,0,775899.49,0.08,0,0
T00183,A7951,386139.49,upi,11.2,high,0,19,0,29475.75,afternoon,web,personal,1,1706857.33,0.82,0,1
T00184,A9513,161828.33,cheque,7.7,medium,1,1,1,16636.05,morning,mobile,business,0,1973542.68,0.19,1,1
T00185,A4657,246947.6,crypto,10.8,high,1,29,0,21379.76,afternoon,web,business,0,1191604.1,0.03,1,1
T00186,A9085,357863.21,cash,0.4,high,1,40,0,11345.89,night,atm,personal,1,1790073.65,0.74,0,1
T00187,A5135,209104.44,cash,9.8,high,1,49,1,48876.95,morning,mobile,business,0,1393592.51,0.91,1,1
T00188,A9376,388334.32,online_transfer,9.6,high,1,30,1,27295.56,afternoon,mobile,business,1,930119.15,0.64,1,1
T00189,A8700,206365.84,cheque,14.7,low,1,24,1,13757.89,night,mobile,personal,0,1532997.87,0.68,0,1
T00190,A4868,232607.92,online_transfer,2.0,high,0,16,1,18736.59,night,atm,personal,0,1092892.58,0.43,0,1
T00191,A8100,179589.27,crypto,2.5,high,1,40,0,44169.46,night,web,personal,1,3729.63,0.65,0,1
T00192,A8867,401936.5,cheque,10.3,low,0,28,1,11922.69,night,mobile,business,0,1884227.49,0.59,0,1
T00193,A3835,439451.35,bank_transfer,3.0,high,1,24,1,45414.35,evening,atm,personal,1,1588428.32,0.15,1,1
T00194,A4796,340121.82,upi,8.9,high,0,14,1,48675.74,night,web,personal,0,1027229.05,0.42,1,1
T00195,A7563,454315.87,cheque,14.9,low,1,17,0,46480.09,morning,atm,personal,1,838015.77,0.05,1,1
T00196,A4840,71751.36,cheque,11.1,medium,1,18,0,33288.24,morning,mobile,personal,0,866764.93,0.34,1,0
T00197,A5895,70991.93,cash,9.4,medium,0,12,1,24161.87,morning,mobile,business,0,296484.3,0.74,1,1
T00198,A2010,312632.77,cheque,10.0,high,1,19,0,31102.48,afternoon,mobile,business,1,416772.47,0.61,1,1
T00199,A3912,66643.47,crypto,3.7,high,0,50,0,37748.29,night,atm,business,1,1377810.91,0.18,1,1
T00200,A8354,101748.22,online_transfer,9.7,medium,0,44,1,7186.32,afternoon,web,business,0,638579.35,0.27,1,1
T00201,A9773,335043.72,upi,12.1,medium,0,36,0,33901.42,night,web,personal,0,293440.91,0.3,0,0
T00202,A3406,55066.58,crypto,5.1,medium,0,20,1,32000.11,morning,mobile,business,0,704760.02,0.71,1,1
T00203,A5417,72972.05,upi,12.4,low,0,2,0,17261.83,night,web,personal,0,247037.71,0.39,1,0
T00204,A8504,326221.9,upi,1.1,low,0,7,1,20887.4,night,web,personal,0,17392.64,0.72,0,1
T00205,A5246,115864.77,upi,7.9,high,1,40,1,27898.66,night,mobile,personal,1,1904602.4,0.33,0,1
T00206,A2153,377467.61,crypto,3.7,medium,0,23,1,27904.05,evening,mobile,business,0,335681.36,0.4,1,1
T00207,A8906,477073.0,bank_transfer,3.3,high,1,32,0,44683.62,evening,mobile,personal,0,1642909.5,0.46,1,1
T00208,A3605,119450.88,online_transfer,1.8,low,0,38,1,5321.57,afternoon,web,personal,0,406637.59,0.02,0,1
T00209,A9751,39019.04,cheque,2.4,medium,1,10,1,15859.41,evening,atm,business,0,1098338.99,0.31,1,1
T00210,A8546,498991.38,crypto,10.6,low,1,19,0,5492.55,night,mobile,business,1,1866410.63,0.36,0,0
T00211,A9266,305758.87,upi,9.5,high,1,26,1,48776.32,night,mobile,business,1,1284663.12,0.36,0,1
T00212,A6484,163625.83,cash,13.4,high,0,43,1,42883.34,afternoon,mobile,personal,1,221253.71,0.59,1,1
T00213,A3618,235172.38,upi,2.4,low,0,31,1,8334.68,morning,atm,personal,1,16404.0,0.95,0,1
T00214,A6765,408830.66,crypto,3.6,low,1,35,1,17269.8,afternoon,web,personal,1,1472237.44,0.41,1,1
T00215,A2842,393837.71,crypto,8.9,medium,0,16,1,37841.18,afternoon,atm,business,1,1818572.64,0.7,0,0
T00216,A8371,391618.12,online_transfer,10.1,low,1,49,1,45281.47,night,mobile,personal,0,1174505.91,0.3,0,1
T00217,A1335,67167.14,bank_transfer,5.6,high,0,5,0,4227.82,night,mobile,business,1,1533283.37,0.35,1,0
T00218,A4063,294832.43,crypto,2.8,low,1,9,0,27289.45,afternoon,web,personal,0,572498.33,0.62,0,0
T00219,A6472,189130.01,cheque,7.1,medium,1,49,0,11747.53,afternoon,atm,business,0,87521.2,0.58,0,0
T00220,A7415,103229.21,upi,1.5,medium,0,0,1,13501.46,morning,web,personal,0,1114854.69,0.74,1,1
T00221,A3968,249819.93,bank_transfer,2.9,medium,1,43,0,3261.45,morning,atm,business,0,269428.22,0.15,0,0
T00222,A4003,200050.76,upi,3.0,low,1,29,0,9902.21,evening,web,business,0,1280171.74,0.79,0,1
T00223,A9104,307699.11,upi,11.4,medium,0,13,0,2067.04,night,mobile,business,0,324987.04,0.1,1,0
T00224,A2062,73943.31,online_transfer,4.1,low,1,4,1,20710.89,night,mobile,business,0,152553.17,0.73,1,1
T00225,A3061,344414.23,bank_transfer,8.8,medium,0,14,1,13690.74,morning,web,business,1,1653524.75,0.71,0,1
T00226,A7955,464813.99,cash,1.0,medium,0,37,1,41613.97,night,mobile,personal,1,1853151.78,0.72,0,1
T00227,A7095,442631.72,online_transfer,14.2,medium,1,37,0,2853.59,night,mobile,business,0,1934612.28,0.5,0,0
T00228,A3469,396387.74,cheque,11.8,low,0,28,0,23114.98,night,atm,personal,1,1501465.97,0.6,1,1
T00229,A7975,157180.18,cash,2.1,low,1,3,1,29605.69,night,atm,business,1,1108515.21,0.52,0,1
T00230,A5082,390568.96,bank_transfer,2.3,high,1,41,1,33914.25,morning,web,personal,0,1025974.75,0.08,1,1
T00231,A6392,42218.04,bank_transfer,12.5,high,1,31,0,15347.44,evening,atm,business,1,301597.54,0.19,1,1
T00232,A1641,291442.42,online_transfer,8.1,high,0,26,0,23587.61,night,mobile,business,0,113911.66,0.88,1,1
T00233,A9721,345475.13,crypto,13.5,low,1,6,1,37954.94,evening,web,personal,1,347981.12,0.07,1,1
